name,category
BI北美间充质干细胞专用胎牛血清04-400-1A-,培养基
BI-USDA认证区域胎牛血清04-001-1A-USDA,培养基
Gibco北美热灭活胎牛血清10082147,培养基
Sigma北美新生牛血清（美国）N4637,培养基
Bovogen澳洲绵羊血清SASS-0.5,培养基
Bovogen澳洲猪血清SPS-0.5,培养基
Bovogen澳洲供体马血清SDHS-0.5,培养基
Bovogen北美胎牛血清（美国）SFBS-U,培养基
Bovogen智利胎牛血清SFBS-C,培养基
Bovogen北美胎牛血清（墨西哥）SFBS-M,培养基
Sigma北美马血清H1270,培养基
Sigma北美猪血清12731C,培养基
Sigma北美牛血清（美国）B9433,培养基
Sigma北美补铁型小牛血清（美国）C8056,培养基
HyClone射线处理新西兰补铁新生牛血清SH306,培养基
HyClone射线处理新西兰新生牛血清SH30401.0,培养基
HyClone热灭活新生牛血清SH30118.03HI,培养基
HyClone热灭活补铁型小牛血清SH30072.03HI,培养基
HyClone热灭活小牛血清SH30073.03HI,培养基
Gibco新西兰猪血清26250084,培养基
Gibco新西兰马血清16050122,培养基
Gibco新西兰小牛血清16170078,培养基
Gibco新西兰热灭活小牛血清26170043,培养基
HyClone新西兰加强型新生牛血清SH30413.02,培养基
HyClone加强型小牛血清SH30087.03,培养基
HyClone新西兰猪血清SH30908.04HI,培养基
HyClone热灭活FetalClone III 血清SH30109.,培养基
HyClone热灭活FetalClone II 血清SH30066.0,培养基
HyClone射线处理新生牛血清SH30118.03IR,培养基
Sigma胎牛血清（USDA认证区域）12303C,培养基
GibcoUSDA胎牛血清10437028,培养基
Gibco新西兰热灭活胎牛血清10093177,培养基
Gibco北美活性炭处理胎牛血清12676029,培养基
Gibco北美超低IGg胎牛血清16250078,培养基
Sigma北美射线处理胎牛血清（加拿大）F7942,培养基
Sigma北美热灭活胎牛血清（美国）12106C,培养基
Sigma澳洲射线处理胎牛血清12007C,培养基
Sigma胚胎干细胞专用胎牛血清F7305,培养基
Sigma新西兰胎牛血清12203C,培养基
Sigma北美透析型胎牛血清（美国）F0392,培养基
Gibco加拿大胎牛血清12483020,培养基
NCTC 135 Medium,培养基
MCDB 131 Medium,培养基
MCDB 153 Medium,培养基
HAT Media Supplement,培养基
Potato Micropropagation Medium,培养基
Loblolly Pine WV3 Medium,培养基
ITS+3 Supplement,培养基
ITS Supplement,培养基
N1 Medium Supplement,培养基
HyClone超低IgG胎牛血清SH30898.03,培养基
HyClone热灭活阿尔法牛血清（不含铁）SH302,培养基
HyClone干细胞专用胎牛血清SH30070.03E,培养基
HyClone射线处理干细胞专用胎牛血清SH30070,培养基
HyClone热灭活透析型胎牛血清SH30079.03HI,培养基
HyClone活性炭处理胎牛血清SH30068.03,培养基
HyClone射线处理北美胎牛血清SH30088.03IR,培养基
HyClone南美胎牛血清SV30160.03,培养基
HyClone射线处理新西兰胎牛血清SH30406.02I,培养基
HyClone射线处理胎牛血清SH30396.03IR,培养基
HyClone射线处理胎牛血清SH30071.03IR,培养基
HyClone射线处理胎牛血清SH30070.03IR,培养基
HyClone热灭活澳洲胎牛血清SH30084.03HI,培养基
S-Medium,培养基
White Modified S-3 Medium,培养基
Eriksson (ER) Medium,培养基
Murashige & Skoog Shoot Multiplication M,培养基
Murashige & Skoog Medium,培养基
Staba Modified Vitamins Solution,培养基
Rugini-Olive Vitamins,培养基
Litvay Vitamin Solution,培养基
Basal Medium Eagle,培养基
Serana胎牛血清FBS,培养基
Swim's S-77 Medium,培养基
IPL-41昆虫培养基,培养基
Schneider昆虫培养基,培养基
