name,category
pcDNA3.1-IL2RG-HA-His,哺乳动物载体
pCMV-3Tag-1a-P2A,哺乳动物载体
pcDNA3.1+P2A-eGFP,哺乳动物载体
pCMV-3Tag-4A,哺乳动物载体
pCMV-3Tag-1A,哺乳动物载体
pcDNA3.1+/N-GST(Thrombin),哺乳动物载体
pcDNA3.1+N-HA,哺乳动物载体
pcDNA3.1+/C-HA,哺乳动物载体
pcDNA3.4,哺乳动物载体
pTRE2,哺乳动物载体
HDM-VSV-G,哺乳动物载体
pcDNA3-cmyc,哺乳动物载体
pCMV6-Entry,哺乳动物载体
p3xFLAG-Myc-CMV-24,哺乳动物载体
pCMV-Myc-N,哺乳动物载体
pDsRed-Monomer-Hyg-C1,哺乳动物载体
pCMV-(DYKDDDDK)-C,哺乳动物载体
pZsYellow-N1,哺乳动物载体
pEYFP-ER,哺乳动物载体
pcDNA4/V5-His B,哺乳动物载体
pcDNA3.1/V5-His B,哺乳动物载体
pUB6/V5 His lacZ,哺乳动物载体
pSUPER-puro,哺乳动物载体
pmR-mCherry,哺乳动物载体
pSUPERIOR puro,哺乳动物载体
pAD-SV40T,哺乳动物载体
pCMVLacI,哺乳动物载体
pTK-hyg,哺乳动物载体
pTet-Splice,哺乳动物载体
pcDNA5/FRT/TO,哺乳动物载体
pSV-Beta-Galactosidase,哺乳动物载体
pcDNA3.3-TOPO,哺乳动物载体
gRNA_Cloning Vector,哺乳动物载体
pcDNA3.1/Zeo(-),哺乳动物载体
pSilencer 4.1-CMV neo,哺乳动物载体
pGL4.33[luc2P/SRE/Hygro],哺乳动物载体
pHook-3,哺乳动物载体
pEBVHisA,哺乳动物载体
pREP7,哺乳动物载体
pCMV-SPORT-βgal,哺乳动物载体
pCMV-SPORT2,哺乳动物载体
pVAX1,哺乳动物载体
pSilencer 4.1-CMV puro,哺乳动物载体
pSilencer 2.1-U6 Neo,哺乳动物载体
pTK-Green-Renilla-Luc,哺乳动物载体
pProLabel-T,哺乳动物载体
pTK-Red-Firefly-Luc,哺乳动物载体
pFC32K Nluc-CMV-neo-Flexi,哺乳动物载体
pFC32A Nluc-CMV-Hygro-Flexi,哺乳动物载体
pGL4.80[hRlucP/Neo],哺乳动物载体
pGL4.77[hRlucP/Hygro],哺乳动物载体
pGL4.73[hRluc/SV40],哺乳动物载体
pGL4.70[hRluc],哺乳动物载体
pGL4.49[luc2P/TCF-LEF RE/Hygro],哺乳动物载体
pGL4.44[luc2P/AP1 RE/Hygro],哺乳动物载体
pGL4.32[luc2P/NF-κB-RE/Hygro],哺乳动物载体
pGL4.38[luc2P/p53 RE/Hygro],哺乳动物载体
pGL4.41[luc2P/HSE/Hygro],哺乳动物载体
pGL4.19,哺乳动物载体
pGL4.30,哺乳动物载体
pGL4.20,哺乳动物载体
pCHO1.0,哺乳动物载体
pcDNA3.1/His A,哺乳动物载体
